Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-05-01,Tram,Route_2,06:48,09:36,5,Station_3,Station_12,65
2023-05-01,Train,Route_8,07:48,08:56,100,Station_11,Station_8,15
2023-05-01,Metro,Route_9,15:18,16:12,69,Station_8,Station_15,25
2023-05-01,Bus,Route_3,13:19,14:53,64,Station_5,Station_2,41
2023-05-01,Tram,Route_5,08:07,10:39,87,Station_15,Station_9,62
2023-05-01,Train,Route_3,14:29,15:39,12,Station_18,Station_18,46
2023-05-01,Bus,Route_2,11:29,13:41,6,Station_15,Station_20,69
2023-05-01,Bus,Route_7,08:50,09:49,31,Station_19,Station_17,26
2023-05-01,Bus,Route_8,13:37,14:59,98,Station_17,Station_3,31
2023-05-01,Metro,Route_3,15:19,16:11,16,Station_3,Station_11,48
2023-05-01,Metro,Route_7,05:31,06:53,15,Station_15,Station_18,48
2023-05-01,Metro,Route_3,15:25,17:20,70,Station_10,Station_6,27
2023-05-01,Bus,Route_3,22:09,24:10,7,Station_6,Station_9,58
2023-05-01,Bus,Route_1,20:51,22:06,98,Station_18,Station_14,47
2023-05-01,Tram,Route_6,06:16,07:52,21,Station_1,Station_3,65
2023-05-01,Metro,Route_9,22:02,23:42,100,Station_5,Station_17,43
2023-05-01,Bus,Route_5,19:19,21:19,68,Station_9,Station_7,14
2023-05-01,Bus,Route_7,09:10,11:12,10,Station_10,Station_5,53
2023-05-01,Train,Route_3,14:20,15:40,72,Station_1,Station_14,38
2023-05-01,Train,Route_1,19:52,20:58,17,Station_19,Station_18,50
2023-05-01,Train,Route_1,09:33,10:48,99,Station_19,Station_7,19
2023-05-01,Tram,Route_6,14:21,16:14,49,Station_17,Station_13,35
2023-05-01,Bus,Route_2,09:08,10:00,99,Station_10,Station_7,17
2023-05-01,Metro,Route_6,17:26,19:26,2,Station_1,Station_10,52
2023-05-01,Train,Route_2,12:03,14:31,7,Station_18,Station_2,38
2023-05-01,Metro,Route_4,06:32,09:25,83,Station_20,Station_14,72
2023-05-01,Bus,Route_7,12:15,13:33,63,Station_14,Station_3,30
2023-05-01,Train,Route_4,09:04,10:51,31,Station_10,Station_5,24
2023-05-01,Tram,Route_8,19:22,20:17,78,Station_7,Station_5,27
2023-05-01,Tram,Route_2,06:40,07:53,95,Station_1,Station_12,46
2023-05-01,Metro,Route_5,07:05,07:48,31,Station_15,Station_19,32
2023-05-01,Bus,Route_9,13:09,15:08,29,Station_10,Station_13,63
2023-05-02,Bus,Route_8,20:06,21:12,37,Station_1,Station_6,35
2023-05-02,Bus,Route_10,12:12,12:50,15,Station_10,Station_7,33
