Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-01-01,Train,Route_3,18:01,20:10,66,Station_10,Station_7,12
2023-01-01,Tram,Route_1,19:42,20:07,95,Station_4,Station_9,0
2023-01-01,Tram,Route_4,13:25,15:11,54,Station_4,Station_17,10
2023-01-01,Bus,Route_5,14:10,14:48,74,Station_20,Station_17,8
2023-01-01,Tram,Route_10,15:50,16:30,31,Station_7,Station_20,10
2023-01-01,Train,Route_2,07:05,08:55,22,Station_6,Station_1,10
2023-01-01,Train,Route_9,11:07,12:58,24,Station_20,Station_9,8
2023-01-01,Bus,Route_4,18:13,19:52,3,Station_8,Station_1,13
2023-01-01,Bus,Route_3,06:18,07:18,8,Station_7,Station_6,15
2023-01-01,Bus,Route_9,15:44,17:18,41,Station_3,Station_13,6
2023-01-01,Train,Route_9,10:46,12:55,78,Station_15,Station_17,14
2023-01-01,Metro,Route_4,22:45,23:18,86,Station_19,Station_18,8
2023-01-01,Train,Route_2,13:23,15:21,68,Station_7,Station_1,14
2023-01-01,Train,Route_1,18:51,19:14,15,Station_3,Station_15,3
2023-01-01,Tram,Route_1,17:17,19:21,44,Station_12,Station_12,14
2023-01-01,Tram,Route_8,18:44,19:53,86,Station_2,Station_5,5
2023-01-01,Metro,Route_6,07:04,08:08,29,Station_4,Station_13,2
2023-01-01,Metro,Route_6,19:25,20:00,69,Station_17,Station_3,14
2023-01-01,Bus,Route_1,20:59,22:48,89,Station_10,Station_16,8
2023-01-01,Train,Route_4,16:56,18:19,74,Station_10,Station_14,2
2023-01-01,Metro,Route_9,21:16,23:22,43,Station_2,Station_14,15
2023-01-01,Metro,Route_4,07:29,09:09,31,Station_6,Station_12,10
2023-01-01,Metro,Route_7,17:11,18:07,52,Station_13,Station_2,15
2023-01-01,Metro,Route_2,17:40,18:41,77,Station_4,Station_19,9
2023-01-01,Tram,Route_9,18:47,18:49,64,Station_16,Station_4,0
2023-01-01,Train,Route_6,11:07,12:06,10,Station_11,Station_18,2
2023-01-01,Metro,Route_10,13:57,14:16,18,Station_4,Station_13,8
2023-01-01,Metro,Route_1,06:02,07:00,67,Station_11,Station_11,0
2023-01-01,Metro,Route_2,14:52,15:30,89,Station_1,Station_10,15
2023-01-01,Train,Route_2,05:32,05:56,66,Station_17,Station_5,6
2023-01-01,Bus,Route_8,09:07,10:37,86,Station_4,Station_20,4
2023-01-01,Tram,Route_1,07:28,08:11,14,Station_2,Station_9,0
2023-01-02,Train,Route_8,22:06,23:54,11,Station_6,Station_9,10
2023-01-02,Tram,Route_2,15:57,17:48,25,Station_1,Station_11,11
2023-01-02,Bus,Route_2,18:22,19:37,60,Station_16,Station_8,14
2023-01-02,Tram,Route_8,17:13,18:48,18,Station_8,Station_16,0
2023-01-02,Train,Route_3,18:08,18:10,91,Station_7,Station_8,1
2023-01-02,Tram,Route_8,06:55,08:38,19,Station_11,Station_19,3
2023-01-02,Metro,Route_4,17:49,18:34,32,Station_9,Station_3,11
2023-01-02,Train,Route_3,21:49,22:50,73,Station_13,Station_7,8
2023-01-02,Train,Route_8,14:13,15:42,44,Station_17,Station_5,11
2023-01-02,Tram,Route_2,06:55,08:29,73,Station_3,Station_5,13
2023-01-02,Train,Route_7,22:55,23:01,47,Station_3,Station_20,5
2023-01-02,Bus,Route_5,16:14,16:38,42,Station_17,Station_7,9
2023-01-02,Bus,Route_3,15:15,16:07,35,Station_14,Station_11,13
2023-01-02,Metro,Route_2,08:52,10:06,49,Station_12,Station_2,1
2023-01-02,Tram,Route_7,14:16,16:10,59,Station_10,Station_11,9
2023-01-02,Tram,Route_9,14:48,16:30,52,Station_2,Station_13,10
2023-01-02,Metro,Route_3,11:57,13:16,36,Station_9,Station_5,13
2023-01-02,Tram,Route_8,20:01,21:26,96,Station_13,Station_2,11
2023-01-02,Metro,Route_1,21:21,22:12,2,Station_7,Station_15,13
2023-01-02,Bus,Route_9,07:20,07:22,70,Station_17,Station_15,1
2023-01-02,Tram,Route_7,10:00,10:27,36,Station_10,Station_18,0
2023-01-02,Metro,Route_6,15:31,17:36,15,Station_11,Station_5,14
2023-01-02,Train,Route_6,19:31,20:53,2,Station_9,Station_3,7
2023-01-02,Metro,Route_4,12:10,13:26,86,Station_14,Station_15,2
2023-01-02,Metro,Route_9,20:07,20:36,50,Station_13,Station_18,11
2023-01-02,Metro,Route_5,17:59,19:09,11,Station_19,Station_9,9
2023-01-02,Tram,Route_6,18:34,19:18,84,Station_15,Station_20,1
2023-01-02,Bus,Route_3,14:45,15:59,47,Station_3,Station_18,0
2023-01-02,Train,Route_5,05:26,06:56,61,Station_7,Station_17,5
2023-01-02,Train,Route_6,05:10,06:32,31,Station_4,Station_7,9
2023-01-02,Bus,Route_6,10:19,11:21,36,Station_7,Station_5,0
2023-01-02,Tram,Route_4,08:57,10:08,83,Station_3,Station_19,7
